title,image_url,ingredients,nutrition_kcal,portions,rating,source_url,source_website,total_time,diet,keywords
"Bavette mit Spargel und Burrata-Käse","https://image.brigitte.de/11739226/t/sf/v3/w1440/r1/-/bavette-mit-spargel-und-burrata-kaese.jpg","[{""amount"":""750"",""name"":""grüner Spargel"",""unit"":""Gramm""},{""amount"":""30"",""name"":""Haselnussblättchen"",""unit"":""Gramm""},{""amount"":""1"",""name"":""Burrata"",""unit"":""Kugel""},{""amount"":""1"",""name"":""Knoblauchzehe"",""unit"":""""},{""amount"":""1"",""name"":""rote Chili"",""unit"":""""},{""amount"":""0,5"",""name"":""glatte Petersilie"",""unit"":""Bund""},{""amount"":""3"",""name"":""Sardellen"",""unit"":""""},{""amount"":""50"",""name"":""Butter"",""unit"":""Gramm""},{""amount"":""250"",""name"":""Nudeln"",""unit"":""Gramm""},{""amount"":"""",""name"":""Salz"",""unit"":""""},{""amount"":"""",""name"":""Pfeffer"",""unit"":""""},{""amount"":""1"",""name"":""Olivenöl"",""unit"":""EL""}]","{""kcal"":515}",4,"{""ratingCount"":27,""ratingValue"":3.6}","https://www.brigitte.de/rezepte/bavette-mit-spargel-und-burrata-kaese-10553628.html","brigitte.de",1800,"[]","[]"
"Gefüllte Tomaten mit Fontina-Käse","https://image.brigitte.de/11619688/t/mb/v3/w1440/r1/-/gefu-llte-tomaten-mit-fontina-kaese.jpg","[{""amount"":""8"",""name"":""Tomate"",""unit"":""""},{""amount"":""200"",""name"":""Zucchini"",""unit"":""Gramm""},{""amount"":""13"",""name"":""Salbei"",""unit"":""Blätter""},{""amount"":""100"",""name"":""Fontina"",""unit"":""Gramm""},{""amount"":""3"",""name"":""Lauchzwiebel"",""unit"":""""},{""amount"":""0,5"",""name"":""Bio-Zitrone"",""unit"":""""},{""amount"":""3"",""name"":""Olivenöl"",""unit"":""EL""},{""amount"":""5"",""name"":""Semmelbrösel"",""unit"":""EL""},{""amount"":""2"",""name"":""Bio-Ei"",""unit"":""""},{""amount"":""150"",""name"":""Crème fraîche"",""unit"":""Gramm""},{""amount"":"""",""name"":""Salz"",""unit"":""""},{""amount"":"""",""name"":""Pfeffer"",""unit"":""""},{""amount"":"""",""name"":""Fett für die Form"",""unit"":""""}]","{""kcal"":450}",4,"{""ratingCount"":12,""ratingValue"":4.2}","https://www.brigitte.de/rezepte/gefuellte-tomaten-mit-fontina-kaese-10551436.html","brigitte.de",4200,"[]","[]"
"Käse-Waffeln","https://image.brigitte.de/10539220/t/Fi/v6/w1440/r1/-/kaese-waffeln.jpg","[{""amount"":""150"",""name"":""Butter"",""unit"":""Gramm""},{""amount"":""5"",""name"":""Ei"",""unit"":""""},{""amount"":""250"",""name"":""Quark"",""unit"":""Gramm""},{""amount"":""100"",""name"":""Hartkäse"",""unit"":""Gramm""},{""amount"":""200"",""name"":""Mehl"",""unit"":""Gramm""},{""amount"":""50"",""name"":""Milch"",""unit"":""Milliliter""},{""amount"":""1"",""name"":""Schnittlauch"",""unit"":""Bund""},{""amount"":"""",""name"":""Salz"",""unit"":""""},{""amount"":"""",""name"":""Pfeffer"",""unit"":""""},{""amount"":"""",""name"":""Bio-Zitrone"",""unit"":""""}]","{""kcal"":320}",10,"{""ratingCount"":66,""ratingValue"":3.8}","https://www.brigitte.de/rezepte/kaese-waffeln-10539222.html","brigitte.de",1800,"[]","[]"
"Blätterteig-Käse-Taschen","https://image.brigitte.de/10527764/t/9x/v6/w1440/r1/-/78966cc76bb643e7f8b18ff3d246b1b1-sommerrezepte-kaesetasche.jpg","[{""amount"":""1"",""name"":""TK-Blätterteig"",""unit"":""Packung""},{""amount"":"""",""name"":""Mehl"",""unit"":""""},{""amount"":""1"",""name"":""Pinienkerne"",""unit"":""EL""},{""amount"":""1"",""name"":""Schalotte"",""unit"":""""},{""amount"":""1"",""name"":""Schnittlauch"",""unit"":""Bund""},{""amount"":""200"",""name"":""Frischkäse"",""unit"":""Gramm""},{""amount"":""70"",""name"":""Emmentaler"",""unit"":""Gramm""},{""amount"":"""",""name"":""Salz"",""unit"":""""},{""amount"":"""",""name"":""Pfeffer"",""unit"":""""},{""amount"":""1"",""name"":""Schlagsahne"",""unit"":""EL""}]","{""kcal"":230}",12,"{}","https://www.brigitte.de/rezepte/blaetterteig-kaese-taschen-10527762.html","brigitte.de",2100,"[]","[]"
"Minipenne mit Vier-Käse-Soße und Hähnchenfilet","https://images.lecker.de/,id=080f1942,b=lecker,w=610,cg=c.jpg","[{""amount"":""200"",""name"":""Kirschtomaten"",""unit"":""g""},{""amount"":""100"",""name"":""junger                    Blattspinat"",""unit"":""g""},{""amount"":""400"",""name"":""Hähnchenfilet"",""unit"":""g""},{""amount"":""125"",""name"":""Mozzarella"",""unit"":""g""},{""amount"":""100"",""name"":""Gorgonzola"",""unit"":""g""},{""amount"":""100"",""name"":""Bergkäse                    (Stück)"",""unit"":""g""},{""amount"":""300-400"",""name"":""Röhrennudeln                    (z. B. Minipenne)"",""unit"":""g""},{""amount"":"""",""name"":""Salz"",""unit"":""""},{""amount"":""350"",""name"":""Milch"",""unit"":""ml""},{""amount"":""150"",""name"":""Schlagsahne"",""unit"":""g""},{""amount"":""150"",""name"":""Doppelrahmfrischkäse"",""unit"":""g""},{""amount"":"""",""name"":""Pfeffer"",""unit"":""""},{""amount"":""2"",""name"":""Öl"",""unit"":""EL""}]","{""kcal"":850}",4,"{""ratingCount"":22,""ratingValue"":3.7}","https://www.lecker.de/minipenne-mit-vier-kaese-sosse-und-haehnchenfilet-71864.html","lecker.de",1800,"[]","[""MIttag"",""herzhaft"",""Sonstiges"",""Pizza & Pasta"",""ganz einfach""]"
"Glückspilz-Omelett mit Käse-Upgrade","https://images.lecker.de/,id=8e3c1c9e,b=lecker,w=610,cg=c.jpg","[{""amount"":""200"",""name"":""Champignons"",""unit"":""g""},{""amount"":""200"",""name"":""Austernpilze"",""unit"":""g""},{""amount"":""1"",""name"":""Zwiebel"",""unit"":""""},{""amount"":""50"",""name"":""Bergkäse (z.B. Greyerzer)"",""unit"":""g""},{""amount"":""1/2"",""name"":""Schnittlauch"",""unit"":""Bund""},{""amount"":""2"",""name"":""Öl"",""unit"":""EL""},{""amount"":"""",""name"":""Salz, Pfeffer, Muskatnuss"",""unit"":""""},{""amount"":""6"",""name"":""Eier (Gr. M)"",""unit"":""""},{""amount"":""3"",""name"":""Mineralwasser"",""unit"":""EL""}]","{""kcal"":470}",2,"{""ratingCount"":5,""ratingValue"":3.2}","https://www.lecker.de/glueckspilz-omelett-mit-kaese-upgrade-80994.html","lecker.de",1800,"[]","[""vegetarisch"",""low carb"",""Frühstück"",""Abendessen"",""herzhaft"",""würzig"",""Sonstiges"",""ganz einfach""]"
"Kürbiskranz mit Schinken und Käse","https://images.lecker.de/,id=1cfbf778,b=lecker,w=610,cg=c.jpg","[{""amount"":""450"",""name"":""Dinkelmehl (Type 630)"",""unit"":""g""},{""amount"":""1"",""name"":""Trockenhefe"",""unit"":""Päckchen""},{""amount"":"""",""name"":""Salz, Zucker, Pfeffer"",""unit"":""""},{""amount"":""7"",""name"":""Olivenöl"",""unit"":""EL""},{""amount"":""400"",""name"":""Kürbis (z.B. Butternut)"",""unit"":""g""},{""amount"":""150"",""name"":""gekochter Schinken (in etwas dickeren Scheiben)"",""unit"":""g""},{""amount"":""150"",""name"":""geriebener Emmentaler"",""unit"":""g""},{""amount"":"""",""name"":""Mehl zum Formen und Bestäuben"",""unit"":""""},{""amount"":"""",""name"":""Backpapier"",""unit"":""""}]","{""kcal"":370}",8,"{""ratingCount"":0,""ratingValue"":0}","https://www.lecker.de/gemuetlicher-kuerbiskranz-inklusive-schinken-und-kaese-80825.html","lecker.de",6300,"[]","[""würzig"",""Sonstiges"",""Ofengerichte"",""einfach""]"
"Bacon-Käse-Zopf","https://images.lecker.de/,id=256f1400,b=lecker,w=610,cg=c.jpg","[{""amount"":""1"",""name"":""(450g; 6 Scheiben)                    TK-Blätterteig"",""unit"":""Packung""},{""amount"":""5"",""name"":""Eier                    (Gr. M)"",""unit"":""""},{""amount"":""100"",""name"":""Cheddar                    (Stück)"",""unit"":""g""},{""amount"":"""",""name"":""Mehl zum Ausrollen"",""unit"":""""},{""amount"":""2"",""name"":""Frühstücksspeck                    (Bacon)"",""unit"":""Packungen                      (à ca. 100g)""},{""amount"":"""",""name"":""Backpapier"",""unit"":""""}]","{""kcal"":200}",15,"{""ratingCount"":13,""ratingValue"":3.5}","https://www.lecker.de/bacon-kaese-zopf-80228.html","lecker.de",6300,"[]","[""Mittagessen"",""Abendessen"",""Snack"",""herzhaft"",""salzig"",""Sonstiges"",""Salate & Snacks""]"
"Makkaroni-Lasagne  mit 3-Käse-Haube","https://images.lecker.de/,id=71c01122,b=lecker,w=610,cg=c.jpg","[{""amount"":""2"",""name"":""Zwiebeln"",""unit"":""""},{""amount"":""2-3"",""name"":""Knoblauchzehen"",""unit"":""""},{""amount"":""1"",""name"":""Möhre"",""unit"":""""},{""amount"":""1"",""name"":""kleine                    Zucchini"",""unit"":""""},{""amount"":""3-4"",""name"":""Tomatenmark"",""unit"":""EL""},{""amount"":""2"",""name"":""stückige                    Tomaten"",""unit"":""Dosen                      (à 425 ml)""},{""amount"":""2"",""name"":""Gemüsebrühe                    (instant)"",""unit"":""TL""},{""amount"":"""",""name"":""Salz und Pfeffer"",""unit"":""""},{""amount"":"""",""name"":""Edelsüßpaprika"",""unit"":""""},{""amount"":"""",""name"":""Zucker"",""unit"":""""},{""amount"":""2"",""name"":""Lorbeerblätter"",""unit"":""""},{""amount"":""2"",""name"":""getrockneter                    Oregano und Basilikum"",""unit"":""TL""},{""amount"":""400"",""name"":""Makkaroni"",""unit"":""g""},{""amount"":""200"",""name"":""Gouda                    (Stück)"",""unit"":""g""},{""amount"":""100"",""name"":""Cheddar                    (Stück)"",""unit"":""g""},{""amount"":""75"",""name"":""Parmesan"",""unit"":""g""},{""amount"":""3"",""name"":""Butter"",""unit"":""EL""},{""amount"":""4"",""name"":""Mehl"",""unit"":""EL""},{""amount"":""500"",""name"":""Milch"",""unit"":""ml""},{""amount"":"""",""name"":""Fett für die Form"",""unit"":""""},{""amount"":""150"",""name"":""Kirschtomaten"",""unit"":""g""},{""amount"":""2-3"",""name"":""Basilikum"",""unit"":""Stiele""}]","{""kcal"":740}",6,"{""ratingCount"":0,""ratingValue"":0}","https://www.lecker.de/makkaroni-lasagne-mit-3-kaese-haube-80133.html","lecker.de",5400,"[]","[""würzig"",""Sonstiges"",""Pizza & Pasta""]"
"Hähnchenfilets in Tomaten-Käse-Soße","https://images.lecker.de/,id=f56b603c,b=lecker,w=610,cg=c.jpg","[{""amount"":""2"",""name"":""Hähnchenbrüste mit Haut auf Knochen (à ca. 500 g)"",""unit"":""""},{""amount"":""75"",""name"":""getrocknete Antipastitomaten"",""unit"":""g""},{""amount"":""60"",""name"":""Parmesan (Stück)"",""unit"":""g""},{""amount"":""1"",""name"":""Frischkäsezubereitung mit Tomate"",""unit"":""Packung (200 g)""},{""amount"":""2–3"",""name"":""Basilikum"",""unit"":""Stiel(e)""},{""amount"":""2"",""name"":""Sojasoße"",""unit"":""EL""},{""amount"":""2"",""name"":""Zitronensaft"",""unit"":""EL""},{""amount"":""1"",""name"":""flüssiger Honig"",""unit"":""EL""},{""amount"":""2"",""name"":""Öl"",""unit"":""EL""},{""amount"":"""",""name"":""Salz"",""unit"":""""},{""amount"":"""",""name"":""Pfeffer"",""unit"":""""},{""amount"":"""",""name"":""Chiliflocken"",""unit"":""""},{""amount"":""200"",""name"":""Milch"",""unit"":""ml""},{""amount"":""1"",""name"":""großer Gefrier­beutel"",""unit"":""""}]","{""kcal"":690}",4,"{""ratingCount"":12,""ratingValue"":4.1}","https://www.lecker.de/haehnchenfilets-tomaten-kaese-sosse-67774.html","lecker.de",3600,"[]","[""herzhaft"",""Fleisch & Geflügel"",""ganz einfach"",""Fleisch"",""Geflügel""]"
